,full_text
212,Mawile mah! mah!
213,moga ada negatifnya harini 
214,10. deact/hiatus? bilang ke admin
215,Sir oh nagttwt sila oh HAHAHHAHA
216,lutang
217,Ahn Ahn 
218,awal yg buruk kacau kacauuhh
219,lumayan
220,PPKN ANJROT PPKN
221,Apa kabar? Teens_Yori
222,Gak pernah berantem 
223, Blaqbones na fuuu 
224,Semakin minggu semakin padat 
225,Barca pun harus tersingkir. https://t.co/eTEMweYa5I
226,BOANG? !?! ! 
227,emang paling males nyuci bed cover ya wak
228,Che bodoke y ️ djo 
229,mentor ga profesional bintang 1
230,dirumah dan sekolah https://t.co/bhl2EQIzNO
231,lupa pernah damage brp tp kayanya 75k dah lewat https://t.co/fP24bJ16KU
232,Aman
233,seganteng apa si mukanya ni org
234, pilih dulu aja bair gue yg ngantri AKAJSJSJDJ GABISA ANJIR GUE MELEYOT 
235,@jantungpiisang @MarwanCikAsan Itu jadi catatan kami yang tertuang dalam salah satu dari 5 catatan kritis @FPD_DPR silakan dibaca dok https://t.co/lo1ZmHkjMA
236,Setelah pindahan capek baru tidur bareng 
237,kiko lg kerasukan mbah j kali makanya ngetiknya gt
238,Allahumma shalli 'ala Muhammad wa 'ala ali Muhammad kama shallaita 'ala Ibrahim wa 'ala ali Ibrahim innaka hamid majid. Jumat Berkah Alhamdulilah Bersyukur Atas segala nikmat sehat yg engkau berikan ya allah.. Semoga engkau datangkan rezeki di hari jumat ini aamiin
239,aku belum hype ht boleh minta tlg drop ht nya?
240,Orang bilang kamu murah senyum? Hebat sih tapi kalah sama aku soalnya senyumku gratis 
241,Merch bangtan sold out dalam semenit wkwkwkwk apa kabar merch jungkook nanti blm keluar perang darah dah u semua 
242,Rekomendasi outfit hijabers di shopee
243,Hahahahahhaahahhaha
244,mau nangis ah anjir
245,Ay no se ahora me dan ganas de cambiarme el user KDNDJDKSBSKD
246,ai gnt
247,Busett itu ngapain ngestok mie di laci meja banyak benerr 
248,Hiduplah seperti teletubies hidupnya nggak punya masalah apapun kerjanya cuman berpelukan ajah.
249,Huhuhu semangat
250,masih pagi udah kangen daegalie
251,tanganku dingin bisa pulang sbentar gk? 5 mnit genggam tangankuuu @Dw_day6_drummer
252, Selamat hari Jumat. Semoga di mudahkan segala urusan kita hari ini. Dibukakan pintu rezeki kita yang seluas luasnya dan segala pintu kebaikan buat kita semua. Amin YRA. 
253,Make bek umur tua aja udah salah banget meskipun banyak pengalaman itu ga bisa di jadiin alesan!! Pemain nya antara niat gak niat si yang penting Gaji lancar.
254,parah tangan gua dingin bgt anjir
255,#KPopKuisRP Ready on Saturday berhadiah pulsa loh daripada rombak acc demi pulsa mending follow us ^^b
256,Ini mutual gue pada dibawah gue semua ya? Sringkali dipanggil kack‍
